"geo","year","population"
"DE139",2020,228736
"DE139",2021,228842
"DE139",2022,229445
"DE139",2023,235252
"DE139",2024,237212
"DE139",2025,238263
"DE13A",2014,164265
"DE13A",2015,165211
"DE13A",2016,167861
"DE13A",2017,168852
"DE13A",2018,170198
"DE13A",2019,170619
"DE13A",2020,171003
"DE13A",2021,171237
"DE13A",2022,171249
"DE13A",2023,170765
"DE13A",2024,171777
"DE13A",2025,171579
"DE14",2014,1781066
"DE14",2015,1795468
"DE14",2016,1823573
"DE14",2017,1834567
"DE14",2018,1846280
"DE14",2019,1856517
"DE14",2020,1863966
"DE14",2021,1867424
"DE14",2022,1876055
"DE14",2023,1887888
"DE14",2024,1900862
"DE14",2025,1904079
"DE141",2014,276019
"DE141",2015,278031
"DE141",2016,282113
"DE141",2017,284082
"DE141",2018,285754
"DE141",2019,286748
"DE141",2020,287034
"DE141",2021,287497
"DE141",2022,288158
"DE141",2023,291335
"DE141",2024,293385
"DE141",2025,293483
"DE142",2014,216535
"DE142",2015,218355
"DE142",2016,221837
"DE142",2017,224635
"DE142",2018,225755
"DE142",2019,227331
"DE142",2020,228678
"DE142",2021,228471
"DE142",2022,229806
"DE142",2023,230987
"DE142",2024,232897
"DE142",2025,233546
"DE143",2014,184615
"DE143",2015,186360
"DE143",2016,188595
"DE143",2017,187401
"DE143",2018,188170
"DE143",2019,188935
"DE143",2020,189363
"DE143",2021,189862
"DE143",2022,190545
"DE143",2023,192726
"DE143",2024,193339
"DE143",2025,193326
"DE144",2014,119218
"DE144",2015,120714
"DE144",2016,122636
"DE144",2017,123953
"DE144",2018,125596
"DE144",2019,126329
"DE144",2020,126790
"DE144",2021,126405
"DE144",2022,126949
"DE144",2023,127932
"DE144",2024,128998
"DE144",2025,129882
"DE145",2014,187892
"DE145",2015,189129
"DE145",2016,192104
"DE145",2017,193318
"DE145",2018,194629
"DE145",2019,196047
"DE145",2020,197076
"DE145",2021,198204
"DE145",2022,199732
"DE145",2023,200294
"DE145",2024,201769
"DE145",2025,202354
"DE146",2014,188696
"DE146",2015,190438
"DE146",2016,194019
"DE146",2017,196206
"DE146",2018,198265
"DE146",2019,199742
"DE146",2020,201282
"DE146",2021,202250
"DE146",2022,203244
"DE146",2023,205073
"DE146",2024,206783
"DE146",2025,207415
"DE147",2014,207450
"DE147",2015,209386
"DE147",2016,212201
"DE147",2017,213070
"DE147",2018,214655
"DE147",2019,216227
"DE147",2020,217470
"DE147",2021,217901
"DE147",2022,218885
"DE147",2023,219641
"DE147",2024,221208
"DE147",2025,220804
"DE148",2014,273540
"DE148",2015,275339
"DE148",2016,279296
"DE148",2017,281627
"DE148",2018,283264
"DE148",2019,284285
"DE148",2020,285424
"DE148",2021,285888
"DE148",2022,287011
"DE148",2023,287393
"DE148",2024,289725
"DE148",2025,291102
"DE149",2014,127101
"DE149",2015,127716
"DE149",2016,130772
"DE149",2017,130275
"DE149",2018,130192
"DE149",2019,130873
"DE149",2020,130849
"DE149",2021,130946
"DE149",2022,131725
"DE149",2023,132507
"DE149",2024,132758
"DE149",2025,132167
"DE2",2014,12604244
"DE2",2015,12691568
"DE2",2016,12843514
"DE2",2017,12930751
"DE2",2018,12997204
"DE2",2019,13076721
"DE2",2020,13124737
"DE2",2021,13140183
"DE2",2022,13176989
"DE2",2023,13105221
"DE2",2024,13176426
"DE2",2025,13248928
"DE21",2014,4469342
"DE21",2015,4519979
"DE21",2016,4588944
"DE21",2017,4633323
"DE21",2018,4649534
"DE21",2019,4686163
"DE21",2020,4710865
"DE21",2021,4719716
"DE21",2022,4729243
"DE21",2023,4705040
"DE21",2024,4726101
"DE21",2025,4764548
"DE211",2014,129136
"DE211",2015,131002
"DE211",2016,132438
"DE211",2017,133639
"DE211",2018,135244
"DE211",2019,136981
"DE211",2020,137392
"DE211",2021,136952
"DE211",2022,138016
"DE211",2023,138263
"DE211",2024,139536
"DE211",2025,141185
"DE212",2014,1407836
"DE212",2015,1429584
"DE212",2016,1450381
"DE212",2017,1464301
"DE212",2018,1456039
"DE212",2019,1471508
"DE212",2020,1484226
"DE212",2021,1488202
"DE212",2022,1487708
"DE212",2023,1490516
"DE212",2024,1488719
"DE212",2025,1505005
"DE213",2014,60464
"DE213",2015,60889
"DE213",2016,61844
"DE213",2017,62672
"DE213",2018,63080
"DE213",2019,63324
"DE213",2020,63551
"DE213",2021,63591
"DE213",2022,63508
"DE213",2023,63641
"DE213",2024,64453
"DE213",2025,65274
"DE214",2014,106965
"DE214",2015,107465
"DE214",2016,108485
"DE214",2017,109422
"DE214",2018,110338
"DE214",2019,111210
"DE214",2020,111516
"DE214",2021,111654
"DE214",2022,112116
"DE214",2023,112296
"DE214",2024,113018
"DE214",2025,113938
"DE215",2014,102346
"DE215",2015,102976
"DE215",2016,103907
"DE215",2017,104480
"DE215",2018,105052
"DE215",2019,105722
"DE215",2020,105929
"DE215",2021,106327
"DE215",2022,106389
"DE215",2023,104372
"DE215",2024,105108
"DE215",2025,105292
"DE216",2014,122118
"DE216",2015,123340
"DE216",2016,124930
"DE216",2017,125668
"DE216",2018,126572
"DE216",2019,127227
"DE216",2020,127917
"DE216",2021,128212
"DE216",2022,127919
"DE216",2023,129062
"DE216",2024,129787
"DE216",2025,130248
"DE217",2014,144407
"DE217",2015,146279
"DE217",2016,149370
"DE217",2017,150839
"DE217",2018,152703
"DE217",2019,153884
"DE217",2020,154899
"DE217",2021,155117
"DE217",2022,155449
"DE217",2023,151041
"DE217",2024,151925
"DE217",2025,153595
"DE218",2014,133007
"DE218",2015,134873
"DE218",2016,137421
"DE218",2017,139016
"DE218",2018,140800
"DE218",2019,142142
"DE218",2020,143649
"DE218",2021,144091
"DE218",2022,144562
"DE218",2023,142205
"DE218",2024,143011
"DE218",2025,144225
"DE219",2014,125858
"DE219",2015,127189
"DE219",2016,128805
"DE219",2017,130808
"DE219",2018,131646
"DE219",2019,132341
"DE219",2020,132881
"DE219",2021,133169
"DE219",2022,133634
"DE219",2023,134201
"DE219",2024,135220
"DE219",2025,135668
"DE21A",2014,130238
"DE21A",2015,131839
"DE21A",2016,133747
"DE21A",2017,135429
"DE21A",2018,136884
"DE21A",2019,137660
"DE21A",2020,138182
"DE21A",2021,138891
"DE21A",2022,139622
"DE21A",2023,138647
"DE21A",2024,139547
"DE21A",2025,140127
"DE21B",2014,169010
"DE21B",2015,170357
"DE21B",2016,173225
"DE21B",2017,175803
"DE21B",2018,177997
"DE21B",2019,179116
"DE21B",2020,180007
"DE21B",2021,180313
"DE21B",2022,181144
"DE21B",2023,181568
"DE21B",2024,183535
"DE21B",2025,184564
"DE21C",2014,208272
"DE21C",2015,210278
"DE21C",2016,213481
"DE21C",2017,216857
"DE21C",2018,217831
"DE21C",2019,219320
"DE21C",2020,219311
"DE21C",2021,218740
"DE21C",2022,218579
"DE21C",2023,215511
"DE21C",2024,216912
"DE21C",2025,218227
"DE21D",2014,85443
"DE21D",2015,85931
"DE21D",2016,87385
"DE21D",2017,87877
"DE21D",2018,88155
"DE21D",2019,88467
"DE21D",2020,88424
"DE21D",2021,88279
"DE21D",2022,88232
"DE21D",2023,89224
"DE21D",2024,89322
"DE21D",2025,89296
"DE21E",2014,114926
"DE21E",2015,116118
"DE21E",2016,117657
"DE21E",2017,118725
"DE21E",2018,119141
"DE21E",2019,120071
"DE21E",2020,120302
"DE21E",2021,121019
"DE21E",2022,121466
"DE21E",2023,119654
"DE21E",2024,120966
"DE21E",2025,122107
"DE21F",2014,96049
"DE21F",2015,96773
"DE21F",2016,98286
"DE21F",2017,98828
"DE21F",2018,99189
"DE21F",2019,99726
"DE21F",2020,100010
"DE21F",2021,100183
"DE21F",2022,99978
"DE21F",2023,96557
"DE21F",2024,96730
"DE21F",2025,97152
"DE21G",2014,109227
"DE21G",2015,110296
"DE21G",2016,112034
"DE21G",2017,113222
"DE21G",2018,114486
"DE21G",2019,115250
"DE21G",2020,115872
"DE21G",2021,116483
"DE21G",2022,117606
"DE21G",2023,120317
"DE21G",2024,121263
"DE21G",2025,122037
"DE21H",2014,329981
"DE21H",2015,332800
"DE21H",2016,340003
"DE21H",2017,343405
"DE21H",2018,346433
"DE21H",2019,348871
"DE21H",2020,350473
"DE21H",2021,349685
"DE21H",2022,349837
"DE21H",2023,350047
"DE21H",2024,352771
"DE21H",2025,354396
"DE21I",2014,92700
"DE21I",2015,93505
"DE21I",2016,94654
"DE21I",2017,95759
"DE21I",2018,96164
"DE21I",2019,96680
"DE21I",2020,97303
"DE21I",2021,97730
"DE21I",2022,98503
"DE21I",2023,97792
"DE21I",2024,98967
"DE21I",2025,99364
"DE21J",2014,119987
"DE21J",2015,121594
"DE21J",2016,124128
"DE21J",2017,125085
"DE21J",2018,126244
"DE21J",2019,127151
"DE21J",2020,128227
"DE21J",2021,129128
"DE21J",2022,129772
"DE21J",2023,128537
"DE21J",2024,129497
"DE21J",2025,130781
"DE21K",2014,249810
"DE21K",2015,251850
"DE21K",2016,256074
"DE21K",2017,257466
"DE21K",2018,259449
"DE21K",2019,260983
"DE21K",2020,261330
"DE21K",2021,261721
"DE21K",2022,263367
"DE21K",2023,255306
"DE21K",2024,256815
"DE21K",2025,258637
"DE21L",2014,130811
"DE21L",2015,131873
"DE21L",2016,133621
"DE21L",2017,134732
"DE21L",2018,135545
"DE21L",2019,136092
"DE21L",2020,136667
"DE21L",2021,136610
"DE21L",2022,136747
"DE21L",2023,138488
"DE21L",2024,138926
"DE21L",2025,139329
"DE21M",2014,170364
"DE21M",2015,171978
"DE21M",2016,174162
"DE21M",2017,175431
"DE21M",2018,176290
"DE21M",2019,177089
"DE21M",2020,177319
"DE21M",2021,177485
"DE21M",2022,178447
"DE21M",2023,170984
"DE21M",2024,172021
"DE21M",2025,175144
"DE21N",2014,130387
"DE21N",2015,131190
"DE21N",2016,132906
"DE21N",2017,133859
"DE21N",2018,134252
"DE21N",2019,135348
"DE21N",2020,135478
"DE21N",2021,136134
"DE21N",2022,136642
"DE21N",2023,136811
"DE21N",2024,138052
"DE21N",2025,138957
"DE22",2014,1189153
"DE22",2015,1197558
"DE22",2016,1212119
"DE22",2017,1219397
"DE22",2018,1230037
"DE22",2019,1238528
"DE22",2020,1244169
"DE22",2021,1247063
"DE22",2022,1253441
"DE22",2023,1244102
"DE22",2024,1251623
"DE22",2025,1259204
"DE221",2014,66179
"DE221",2015,67509
"DE221",2016,69211
"DE221",2017,70025
"DE221",2018,71193
"DE221",2019,72404
"DE221",2020,73411
"DE221",2021,73065
"DE221",2022,73150
"DE221",2023,68743
"DE221",2024,68741
"DE221",2025,71863
"DE222",2014,49454
"DE222",2015,49952
"DE222",2016,50566
"DE222",2017,51074
"DE222",2018,51781
"DE222",2019,52469
"DE222",2020,52803
"DE222",2021,52415
"DE222",2022,53093
"DE222",2023,52361
"DE222",2024,52894
"DE222",2025,53039
"DE223",2014,45502
"DE223",2015,46027
"DE223",2016,46806
"DE223",2017,47142
"DE223",2018,47586
"DE223",2019,47794
"DE223",2020,47791
"DE223",2021,47612
"DE223",2022,47854
"DE223",2023,46953
"DE223",2024,47524
"DE223",2025,49002
"DE224",2014,115374
"DE224",2015,115699
"DE224",2016,116596
"DE224",2017,117601
"DE224",2018,118741
"DE224",2019,119326
"DE224",2020,119478
"DE224",2021,119479
"DE224",2022,120521
"DE224",2023,120091
"DE224",2024,121137
"DE224",2025,121844
"DE225",2014,77626
"DE225",2015,77927
"DE225",2016,78122
"DE225",2017,78180
"DE225",2018,78345
"DE225",2019,78355
"DE225",2020,78362
"DE225",2021,78355
"DE225",2022,78632
"DE225",2023,78155
"DE225",2024,78512
"DE225",2025,78710
"DE226",2014,115232
"DE226",2015,116495
"DE226",2016,118965
"DE226",2017,119969
"DE226",2018,121119
"DE226",2019,122258
"DE226",2020,123058
"DE226",2021,123390
"DE226",2022,123899
"DE226",2023,124673
"DE226",2024,125597
"DE226",2025,126037
"DE227",2014,150316
"DE227",2015,151819
"DE227",2016,154577
"DE227",2017,155442
"DE227",2018,157239
"DE227",2019,158698
"DE227",2020,159895
"DE227",2021,161191
"DE227",2022,162331
"DE227",2023,160256
"DE227",2024,161180
"DE227",2025,162170
"DE228",2014,185671
"DE228",2015,186284
"DE228",2016,188336
"DE228",2017,188904
"DE228",2018,190504
"DE228",2019,192043
"DE228",2020,192656
"DE228",2021,193454
"DE228",2022,194090
"DE228",2023,193080
"DE228",2024,194068
"DE228",2025,194699
"DE229",2014,76257
"DE229",2015,76265
"DE229",2016,76812
"DE229",2017,77187
"DE229",2018,77489
"DE229",2019,77656
"DE229",2020,77410
"DE229",2021,77313
"DE229",2022,77176
"DE229",2023,77503
"DE229",2024,77439
"DE229",2025,77267
"DE22A",2014,117654
"DE22A",2015,118164
"DE22A",2016,119218
"DE22A",2017,119617
"DE22A",2018,120371
"DE22A",2019,120659
"DE22A",2020,121502
"DE22A",2021,121800
"DE22A",2022,122252
"DE22A",2023,119864
"DE22A",2024,120475
"DE22A",2025,120497
"DE22B",2014,97323
"DE22B",2015,97967
"DE22B",2016,98806
"DE22B",2017,99221
"DE22B",2018,99838
"DE22B",2019,100649
"DE22B",2020,101120
"DE22B",2021,101745
"DE22B",2022,102398
"DE22B",2023,102914
"DE22B",2024,103329
"DE22B",2025,103041
"DE22C",2014,92565
"DE22C",2015,93450
"DE22C",2016,94104
"DE22C",2017,95035
"DE22C",2018,95831
"DE22C",2019,96217
"DE22C",2020,96683
"DE22C",2021,97244
"DE22C",2022,98045
"DE22C",2023,99509
"DE22C",2024,100727
"DE22C",2025,101035
"DE23",2014,1077991
"DE23",2015,1082761
"DE23",2016,1092339
"DE23",2017,1098378
"DE23",2018,1104407
"DE23",2019,1109269
"DE23",2020,1112102
"DE23",2021,1112267
"DE23",2022,1116741
"DE23",2023,1107750
"DE23",2024,1116135
"DE23",2025,1121379
"DE231",2014,41592
"DE231",2015,41535
"DE231",2016,41861
"DE231",2017,42348
"DE231",2018,42248
"DE231",2019,41970
"DE231",2020,42207
"DE231",2021,42052
"DE231",2022,41994
"DE231",2023,42080
"DE231",2024,42217
"DE231",2025,42553
"DE232",2014,140276
"DE232",2015,142292
"DE232",2016,145465
"DE232",2017,148638
"DE232",2018,150894
"DE232",2019,152610
"DE232",2020,153094
"DE232",2021,152270
"DE232",2022,153542
"DE232",2023,147509
"DE232",2024,149664
"DE232",2025,151389
"DE233",2014,41726
"DE233",2015,41817
"DE233",2016,42055
"DE233",2017,42494
"DE233",2018,42543
"DE233",2019,42520
"DE233",2020,42743
"DE233",2021,42535
"DE233",2022,42472
"DE233",2023,42251
"DE233",2024,42430
"DE233",2025,42444
"DE234",2014,103074
"DE234",2015,103045
"DE234",2016,103568
"DE234",2017,103009
"DE234",2018,102836
"DE234",2019,103109
"DE234",2020,103049
"DE234",2021,102998
"DE234",2022,103277
"DE234",2023,103621
"DE234",2024,104127
"DE234",2025,103982
"DE235",2014,125553
"DE235",2015,125844
"DE235",2016,126359
"DE235",2017,126918
"DE235",2018,127339
"DE235",2019,127882
"DE235",2020,127998
"DE235",2021,128094
"DE235",2022,128444
"DE235",2023,127452
"DE235",2024,128230
"DE235",2025,128534
"DE236",2014,127826
"DE236",2015,128975
"DE236",2016,130385
"DE236",2017,131662
"DE236",2018,132644
"DE236",2019,133561
"DE236",2020,134573
"DE236",2021,135225
"DE236",2022,136062
"DE236",2023,136901
"DE236",2024,138214
"DE236",2025,138693
"DE237",2014,95447
"DE237",2015,95184
"DE237",2016,95078
"DE237",2017,94528
"DE237",2018,94486
"DE237",2019,94352
"DE237",2020,94450
"DE237",2021,94645
"DE237",2022,94838
"DE237",2023,95742
"DE237",2024,96209
"DE237",2025,96049
"DE238",2014,185980
"DE238",2015,187205
"DE238",2016,189390
"DE238",2017,190481
"DE238",2018,192200
"DE238",2019,193572
"DE238",2020,194070
"DE238",2021,194275
"DE238",2022,195225
"DE238",2023,191651
"DE238",2024,193801
"DE238",2025,196213
"DE239",2014,143060
"DE239",2015,143614
"DE239",2016,144864
"DE239",2017,145382
"DE239",2018,146487
"DE239",2019,147189
"DE239",2020,147872
"DE239",2021,148477
"DE239",2022,149239
"DE239",2023,147982
"DE239",2024,148698
"DE239",2025,149312
"DE23A",2014,73457
"DE23A",2015,73250
"DE23A",2016,73314
"DE23A",2017,72918
"DE23A",2018,72730
"DE23A",2019,72504
"DE23A",2020,72046
"DE23A",2021,71696
"DE23A",2022,71648
"DE23A",2023,72561
"DE23A",2024,72545
"DE23A",2025,72210
"DE24",2014,1056365
"DE24",2015,1055955
"DE24",2016,1059358
"DE24",2017,1062394
"DE24",2018,1066840
"DE24",2019,1067482
"DE24",2020,1065371
"DE24",2021,1062085
"DE24",2022,1061929
"DE24",2023,1051868
"DE24",2024,1055751
"DE24",2025,1055758
"DE241",2014,71167
"DE241",2015,71952
"DE241",2016,73331
"DE241",2017,75743
"DE241",2018,77179
"DE241",2019,77592
"DE241",2020,77373
"DE241",2021,76674
"DE241",2022,77749
"DE241",2023,74405
"DE241",2024,75087
"DE241",2025,77150
"DE242",2014,71572
"DE242",2015,71601
"DE242",2016,72148
"DE242",2017,73065
"DE242",2018,73999
"DE242",2019,74657
"DE242",2020,74783
"DE242",2021,74048
"DE242",2022,73909
"DE242",2023,72661
"DE242",2024,73074
"DE242",2025,72940
"DE243",2014,40994
"DE243",2015,41062
"DE243",2016,41257
"DE243",2017,41071
"DE243",2018,41236
"DE243",2019,41249
"DE243",2020,41072
"DE243",2021,40842
"DE243",2022,40955
"DE243",2023,40618
"DE243",2024,40907
"DE243",2025,41064
"DE244",2014,44522
"DE244",2015,44325
"DE244",2016,44660
"DE244",2017,45183
"DE244",2018,45950
"DE244",2019,45930
"DE244",2020,45825
"DE244",2021,45173
"DE244",2022,45125
"DE244",2023,46151
"DE244",2024,46484
"DE244",2025,46778
"DE245",2014,144425
"DE245",2015,144695
"DE245",2016,145570
"DE245",2017,146042
"DE245",2018,146584
"DE245",2019,147086
"DE245",2020,147163
"DE245",2021,147497
"DE245",2022,147697
"DE245",2023,147269
"DE245",2024,148017
"DE245",2025,147777
"DE246",2014,104637
"DE246",2015,104615
"DE246",2016,104306
"DE246",2017,103876
"DE246",2018,103805
"DE246",2019,103656
"DE246",2020,103664
"DE246",2021,103679
"DE246",2022,103648
"DE246",2023,103106
"DE246",2024,103269
"DE246",2025,103215
"DE247",2014,86719
"DE247",2015,86715
"DE247",2016,86599
"DE247",2017,86734
"DE247",2018,86885
"DE247",2019,86906
"DE247",2020,86747
"DE247",2021,86571
"DE247",2022,86544
"DE247",2023,84341
"DE247",2024,84518
"DE247",2025,84468
"DE248",2014,113424
"DE248",2015,113900
"DE248",2016,114834
"DE248",2017,115259
"DE248",2018,115681
"DE248",2019,116099
"DE248",2020,116203
"DE248",2021,116600
"DE248",2022,116753
"DE248",2023,115457
"DE248",2024,116284
"DE248",2025,116184
"DE249",2014,97096
"DE249",2015,96608
"DE249",2016,96429
"DE249",2017,95915
"DE249",2018,95773
"DE249",2019,95311
"DE249",2020,94801
"DE249",2021,94522
"DE249",2022,93907
"DE249",2023,92905
"DE249",2024,92675
"DE249",2025,92191
"DE24A",2014,68484
"DE24A",2015,67998
"DE24A",2016,67916
"DE24A",2017,67613
"DE24A",2018,67474
"DE24A",2019,67135
"DE24A",2020,66743
"DE24A",2021,66355
"DE24A",2022,66091
"DE24A",2023,65087
"DE24A",2024,65009
"DE24A",2025,64545
"DE24B",2014,72898
"DE24B",2015,72541
"DE24B",2016,72468
"DE24B",2017,71993
"DE24B",2018,72012
"DE24B",2019,71845
"DE24B",2020,71566
"DE24B",2021,71428
"DE24B",2022,71328
"DE24B",2023,71439
"DE24B",2024,71752
"DE24B",2025,71518
"DE24C",2014,66644
"DE24C",2015,66540
"DE24C",2016,66655
"DE24C",2017,66640
"DE24C",2018,66777
"DE24C",2019,66838
"DE24C",2020,66776
"DE24C",2021,66722
"DE24C",2022,66741
"DE24C",2023,67466
"DE24C",2024,67716
"DE24C",2025,67379
"DE24D",2014,73783
"DE24D",2015,73403
"DE24D",2016,73185
"DE24D",2017,73260
"DE24D",2018,73485
"DE24D",2019,73178
"DE24D",2020,72655
"DE24D",2021,71974
"DE24D",2022,71482
"DE24D",2023,70963
"DE24D",2024,70959
"DE24D",2025,70549
"DE25",2014,1707376
"DE25",2015,1715195
"DE25",2016,1738686
"DE25",2017,1750059
"DE25",2018,1759643
"DE25",2019,1770401
"DE25",2020,1775169
"DE25",2021,1775704
"DE25",2022,1777143
"DE25",2023,1782419
"DE25",2024,1791147
"DE25",2025,1795909
"DE251",2014,39839
"DE251",2015,40010
"DE251",2016,41159
"DE251",2017,41532
"DE251",2018,41652
"DE251",2019,41847
"DE251",2020,41798
"DE251",2021,41681
"DE251",2022,41662
"DE251",2023,39596
"DE251",2024,39700
"DE251",2025,40742
"DE252",2014,105624
"DE252",2015,106423
"DE252",2016,108336
"DE252",2017,110238
"DE252",2018,110998
"DE252",2019,111962
"DE252",2020,112528
"DE252",2021,112385
"DE252",2022,113292
"DE252",2023,113911
"DE252",2024,115314
"DE252",2025,115928
"DE253",2014,119808
"DE253",2015,121519
"DE253",2016,124171
"DE253",2017,125403
"DE253",2018,126526
"DE253",2019,127748
"DE253",2020,128497
"DE253",2021,128223
"DE253",2022,129122
"DE253",2023,131060
"DE253",2024,131712
"DE253",2025,132036
"DE254",2014,498876
"DE254",2015,501072
"DE254",2016,509975
"DE254",2017,511628
"DE254",2018,515201
"DE254",2019,518365
"DE254",2020,518370
"DE254",2021,515543
"DE254",2022,510632
"DE254",2023,523734
"DE254",2024,526606
"DE254",2025,529508
"DE255",2014,39546
"DE255",2015,39941
"DE255",2016,40428
"DE255",2017,40707
"DE255",2018,40781
"DE255",2019,40792
"DE255",2020,40981
"DE255",2021,41056
"DE255",2022,41146
"DE255",2023,40812
"DE255",2024,40994
"DE255",2025,40835
"DE256",2014,178914
"DE256",2015,179419
"DE256",2016,181314
"DE256",2017,182178
"DE256",2018,183256
"DE256",2019,183949
"DE256",2020,184591
"DE256",2021,185316
"DE256",2022,186279
"DE256",2023,186359
"DE256",2024,187340
"DE256",2025,187633
"DE257",2014,132012
"DE257",2015,132830
"DE257",2016,134136
"DE257",2017,134640
"DE257",2018,135334
"DE257",2019,136271
"DE257",2020,137262
"DE257",2021,138105
"DE257",2022,139323
"DE257",2023,137981
"DE257",2024,138581
"DE257",2025,138325
"DE258",2014,114513
"DE258",2015,113847
"DE258",2016,114291
"DE258",2017,115971
"DE258",2018,116193
"DE258",2019,117387
"DE258",2020,117853
"DE258",2021,118695
"DE258",2022,119432
"DE258",2023,117602
"DE258",2024,117617
"DE258",2025,117719
"DE259",2014,165000
"DE259",2015,165918
"DE259",2016,167643
"DE259",2017,168893
"DE259",2018,169752
"DE259",2019,170365
"DE259",2020,170792
"DE259",2021,171143
"DE259",2022,171424
"DE259",2023,168856
"DE259",2024,169193
"DE259",2025,168813
"DE25A",2014,97482
"DE25A",2015,97808
"DE25A",2016,98751
"DE25A",2017,99332
"DE25A",2018,99641
"DE25A",2019,100364
"DE25A",2020,101014
"DE25A",2021,101272
"DE25A",2022,101788
"DE25A",2023,100568
"DE25A",2024,100982
"DE25A",2025,101043
"DE25B",2014,123431
"DE25B",2015,123890
"DE25B",2016,125140
"DE25B",2017,125563
"DE25B",2018,126101
"DE25B",2019,126958
"DE25B",2020,126749
"DE25B",2021,127168
"DE25B",2022,127520
"DE25B",2023,127472
"DE25B",2024,128438
"DE25B",2025,128632
"DE25C",2014,92331
"DE25C",2015,92518
"DE25C",2016,93342
"DE25C",2017,93974
"DE25C",2018,94208
"DE25C",2019,94393
"DE25C",2020,94734
"DE25C",2021,95117
"DE25C",2022,95523
"DE25C",2023,94468
"DE25C",2024,94670
"DE25C",2025,94695
"DE26",2014,1297992
"DE26",2015,1298849
"DE26",2016,1306048
"DE26",2017,1309209
"DE26",2018,1313375
"DE26",2019,1317124
"DE26",2020,1317619
"DE26",2021,1317507
"DE26",2022,1320513
"DE26",2023,1310561
"DE26",2024,1315155
"DE26",2025,1318817
"DE261",2014,67844
"DE261",2015,68167
"DE261",2016,68986
"DE261",2017,69187
"DE261",2018,69928
"DE261",2019,70527
"DE261",2020,71002
"DE261",2021,70858
"DE261",2022,71381
"DE261",2023,72054
"DE261",2024,72554
"DE261",2025,73091
"DE262",2014,51851
"DE262",2015,51610
"DE262",2016,51969
"DE262",2017,52724
"DE262",2018,53437
"DE262",2019,54032
"DE262",2020,53426
"DE262",2021,53319
"DE262",2022,53585
"DE262",2023,53539
"DE262",2024,53938
"DE262",2025,54481
"DE263",2014,124698
"DE263",2015,124219
"DE263",2016,124873
"DE263",2017,126010
"DE263",2018,126635
"DE263",2019,127880
"DE263",2020,127934
"DE263",2021,126954
"DE263",2022,126933
"DE263",2023,131271
"DE263",2024,131759
"DE263",2025,133258
"DE264",2014,172791
"DE264",2015,172776
"DE264",2016,173695
"DE264",2017,173504
"DE264",2018,173969
"DE264",2019,174208
"DE264",2020,174200
"DE264",2021,174658
"DE264",2022,174965
"DE264",2023,170651
"DE264",2024,170856
"DE264",2025,170945
"DE265",2014,102865
"DE265",2015,102901
"DE265",2016,103106
"DE265",2017,103100
"DE265",2018,103265
"DE265",2019,103218
"DE265",2020,103235
"DE265",2021,103169
"DE265",2022,103454
"DE265",2023,103088
"DE265",2024,103447
"DE265",2025,103489
"DE266",2014,79965
"DE266",2015,79676
"DE266",2016,79723
"DE266",2017,79855
"DE266",2018,79796
"DE266",2019,79690
"DE266",2020,79635
"DE266",2021,79510
"DE266",2022,79376
"DE266",2023,79216
"DE266",2024,79430
"DE266",2025,79375
"DE267",2014,84090
"DE267",2015,84152
"DE267",2016,84581
"DE267",2017,84373
"DE267",2018,84464
"DE267",2019,84599
"DE267",2020,84384
"DE267",2021,84275
"DE267",2022,84284
"DE267",2023,83258
"DE267",2024,83673
"DE267",2025,83869
"DE268",2014,88097
"DE268",2015,88492
"DE268",2016,89306
"DE268",2017,89748
"DE268",2018,90429
"DE268",2019,90909
"DE268",2020,91155
"DE268",2021,91696
"DE268",2022,91980
"DE268",2023,90576
"DE268",2024,91197
"DE268",2025,91287
"DE269",2014,127909
"DE269",2015,127941
"DE269",2016,128446
"DE269",2017,128543
"DE269",2018,128484
"DE269",2019,128756
"DE269",2020,128743
"DE269",2021,128743
"DE269",2022,128782
"DE269",2023,126649
"DE269",2024,127204
"DE269",2025,127547
"DE26A",2014,126295
"DE26A",2015,125915
"DE26A",2016,126123
"DE26A",2017,126301
"DE26A",2018,126523
"DE26A",2019,126365
"DE26A",2020,126158
"DE26A",2021,125976
"DE26A",2022,126105
"DE26A",2023,125270
"DE26A",2024,125814
"DE26A",2025,125282
"DE26B",2014,113007
"DE26B",2015,113747
"DE26B",2016,114813
"DE26B",2017,114823
"DE26B",2018,115105
"DE26B",2019,115106
"DE26B",2020,115445
"DE26B",2021,115652
"DE26B",2022,116134
"DE26B",2023,114749
"DE26B",2024,114404
"DE26B",2025,113977
"DE26C",2014,158580
"DE26C",2015,159253
"DE26C",2016,160427
"DE26C",2017,161041
"DE26C",2018,161340
"DE26C",2019,161834
"DE26C",2020,162302
"DE26C",2021,162697
"DE26C",2022,163534
"DE26C",2023,160240
"DE26C",2024,160879
"DE26C",2025,162216
"DE27",2014,1806025
"DE27",2015,1821271
"DE27",2016,1846020
"DE27",2017,1857991
"DE27",2018,1873368
"DE27",2019,1887754
"DE27",2020,1899442
"DE27",2021,1905841
"DE27",2022,1917979
"DE27",2023,1903481
"DE27",2024,1920514
"DE27",2025,1933313
"DE271",2014,276542
"DE271",2015,281111
"DE271",2016,286374
"DE271",2017,289584
"DE271",2018,292851
"DE271",2019,295135
"DE271",2020,296582
"DE271",2021,295830
"DE271",2022,296478
"DE271",2023,296706
"DE271",2024,298972
