"geo","year","population"
"PL41",2019,3473172
"PL41",2020,3479525
"PL41",2021,3455384
"PL41",2022,3449874
"PL41",2023,3444228
"PL41",2024,3438504
"PL41",2025,3433354
"PL411",2014,408879
"PL411",2015,408357
"PL411",2016,407494
"PL411",2017,407278
"PL411",2018,406879
"PL411",2019,406147
"PL411",2020,404761
"PL411",2021,389027
"PL411",2022,386428
"PL411",2023,384414
"PL411",2024,382519
"PL411",2025,380310
"PL414",2014,655569
"PL414",2015,655320
"PL414",2016,654345
"PL414",2017,653607
"PL414",2018,653355
"PL414",2019,652618
"PL414",2020,651571
"PL414",2021,629248
"PL414",2022,626025
"PL414",2023,623516
"PL414",2024,620711
"PL414",2025,617476
"PL415",2014,545204
"PL415",2015,543757
"PL415",2016,541152
"PL415",2017,539262
"PL415",2018,537682
"PL415",2019,535946
"PL415",2020,534756
"PL415",2021,542707
"PL415",2022,540458
"PL415",2023,537063
"PL415",2024,534596
"PL415",2025,532887
"PL416",2014,667263
"PL416",2015,667214
"PL416",2016,666421
"PL416",2017,666344
"PL416",2018,666265
"PL416",2019,665874
"PL416",2020,664975
"PL416",2021,649154
"PL416",2022,646066
"PL416",2023,643465
"PL416",2024,640543
"PL416",2025,637755
"PL417",2014,549365
"PL417",2015,550413
"PL417",2016,550923
"PL417",2017,551802
"PL417",2018,552942
"PL417",2019,554079
"PL417",2020,554700
"PL417",2021,545971
"PL417",2022,544388
"PL417",2023,543338
"PL417",2024,542106
"PL417",2025,541062
"PL418",2014,615160
"PL418",2015,622628
"PL418",2016,630631
"PL418",2017,639180
"PL418",2018,648482
"PL418",2019,658508
"PL418",2020,668762
"PL418",2021,699277
"PL418",2022,706509
"PL418",2023,712432
"PL418",2024,718029
"PL418",2025,723864
"PL42",2014,1691400
"PL42",2015,1688486
"PL42",2016,1684025
"PL42",2017,1681246
"PL42",2018,1678873
"PL42",2019,1675502
"PL42",2020,1671605
"PL42",2021,1610051
"PL42",2022,1598259
"PL42",2023,1589049
"PL42",2024,1579753
"PL42",2025,1571895
"PL424",2014,405358
"PL424",2015,404849
"PL424",2016,404705
"PL424",2017,402415
"PL424",2018,401556
"PL424",2019,400859
"PL424",2020,400748
"PL424",2021,392527
"PL424",2022,389103
"PL424",2023,386597
"PL424",2024,383937
"PL424",2025,382393
"PL426",2014,353542
"PL426",2015,352628
"PL426",2016,351466
"PL426",2017,350976
"PL426",2018,350921
"PL426",2019,350291
"PL426",2020,349630
"PL426",2021,338226
"PL426",2022,335325
"PL426",2023,333412
"PL426",2024,331548
"PL426",2025,330149
"PL427",2014,428233
"PL427",2015,426348
"PL427",2016,423865
"PL427",2017,423003
"PL427",2018,420869
"PL427",2019,418331
"PL427",2020,415052
"PL427",2021,388493
"PL427",2022,384399
"PL427",2023,380926
"PL427",2024,377539
"PL427",2025,373579
"PL428",2014,504267
"PL428",2015,504661
"PL428",2016,503989
"PL428",2017,504852
"PL428",2018,505527
"PL428",2019,506021
"PL428",2020,506175
"PL428",2021,490805
"PL428",2022,489432
"PL428",2023,488114
"PL428",2024,486729
"PL428",2025,485774
"PL43",2014,1008564
"PL43",2015,1007442
"PL43",2016,1005159
"PL43",2017,1004892
"PL43",2018,1004127
"PL43",2019,1003310
"PL43",2020,1001411
"PL43",2021,965875
"PL43",2022,958281
"PL43",2023,952793
"PL43",2024,947784
"PL43",2025,943794
"PL431",2014,381472
"PL431",2015,381262
"PL431",2016,380453
"PL431",2017,380800
"PL431",2018,380683
"PL431",2019,380438
"PL431",2020,379827
"PL431",2021,368125
"PL431",2022,364545
"PL431",2023,362428
"PL431",2024,360209
"PL431",2025,358621
"PL432",2014,627092
"PL432",2015,626180
"PL432",2016,624706
"PL432",2017,624092
"PL432",2018,623444
"PL432",2019,622872
"PL432",2020,621584
"PL432",2021,597750
"PL432",2022,593736
"PL432",2023,590365
"PL432",2024,587575
"PL432",2025,585173
"PL5",2014,3829805
"PL5",2015,3825251
"PL5",2016,3817181
"PL5",2017,3816928
"PL5",2018,3814166
"PL5",2019,3811110
"PL5",2020,3807042
"PL5",2021,3743859
"PL5",2022,3724673
"PL5",2023,3710289
"PL5",2024,3695855
"PL5",2025,3683074
"PL51",2014,2869579
"PL51",2015,2868338
"PL51",2016,2864624
"PL51",2017,2866218
"PL51",2018,2865358
"PL51",2019,2865072
"PL51",2020,2864809
"PL51",2021,2833557
"PL51",2022,2822229
"PL51",2023,2813919
"PL51",2024,2805463
"PL51",2025,2798300
"PL514",2014,625960
"PL514",2015,628672
"PL514",2016,630704
"PL514",2017,634192
"PL514",2018,636050
"PL514",2019,638659
"PL514",2020,641560
"PL514",2021,670219
"PL514",2022,670438
"PL514",2023,671206
"PL514",2024,670892
"PL514",2025,672400
"PL515",2014,566135
"PL515",2015,563238
"PL515",2016,560164
"PL515",2017,558059
"PL515",2018,555529
"PL515",2019,552576
"PL515",2020,549282
"PL515",2021,522653
"PL515",2022,516978
"PL515",2023,512700
"PL515",2024,508467
"PL515",2025,503919
"PL516",2014,447247
"PL516",2015,446462
"PL516",2016,445415
"PL516",2017,444934
"PL516",2018,444025
"PL516",2019,442785
"PL516",2020,441445
"PL516",2021,425228
"PL516",2022,422618
"PL516",2023,420225
"PL516",2024,417748
"PL516",2025,415243
"PL517",2014,663714
"PL517",2015,659523
"PL517",2016,654469
"PL517",2017,650502
"PL517",2018,646064
"PL517",2019,641626
"PL517",2020,636689
"PL517",2021,597241
"PL517",2022,589688
"PL517",2023,583214
"PL517",2024,576998
"PL517",2025,570996
"PL518",2014,566523
"PL518",2015,570443
"PL518",2016,573872
"PL518",2017,578531
"PL518",2018,583690
"PL518",2019,589426
"PL518",2020,595833
"PL518",2021,618216
"PL518",2022,622507
"PL518",2023,626574
"PL518",2024,631358
"PL518",2025,635742
"PL52",2014,960226
"PL52",2015,956913
"PL52",2016,952557
"PL52",2017,950710
"PL52",2018,948808
"PL52",2019,946038
"PL52",2020,942233
"PL52",2021,910302
"PL52",2022,902444
"PL52",2023,896370
"PL52",2024,890392
"PL52",2025,884774
"PL523",2014,371589
"PL523",2015,370066
"PL523",2016,367646
"PL523",2017,366250
"PL523",2018,365003
"PL523",2019,363713
"PL523",2020,361728
"PL523",2021,342466
"PL523",2022,339070
"PL523",2023,335827
"PL523",2024,332826
"PL523",2025,329909
"PL524",2014,588637
"PL524",2015,586847
"PL524",2016,584911
"PL524",2017,584460
"PL524",2018,583805
"PL524",2019,582325
"PL524",2020,580505
"PL524",2021,567836
"PL524",2022,563374
"PL524",2023,560543
"PL524",2024,557566
"PL524",2025,554865
"PL6",2014,5754498
"PL6",2015,5755946
"PL6",2016,5753799
"PL6",2017,5757016
"PL6",2018,5763089
"PL6",2019,5764951
"PL6",2020,5766149
"PL6",2021,5587643
"PL6",2022,5562131
"PL6",2023,5542322
"PL6",2024,5523332
"PL6",2025,5504196
"PL61",2014,2068417
"PL61",2015,2065846
"PL61",2016,2062006
"PL61",2017,2060575
"PL61",2018,2059748
"PL61",2019,2055433
"PL61",2020,2050976
"PL61",2021,1969116
"PL61",2022,1954778
"PL61",2023,1943197
"PL61",2024,1931648
"PL61",2025,1920440
"PL613",2014,767131
"PL613",2015,767732
"PL613",2016,768134
"PL613",2017,769556
"PL613",2018,771072
"PL613",2019,771746
"PL613",2020,772834
"PL613",2021,751413
"PL613",2022,747601
"PL613",2023,744334
"PL613",2024,741604
"PL613",2025,739881
"PL616",2014,387610
"PL616",2015,387118
"PL616",2016,385700
"PL616",2017,385116
"PL616",2018,384695
"PL616",2019,383322
"PL616",2020,381815
"PL616",2021,366376
"PL616",2022,363319
"PL616",2023,361017
"PL616",2024,358640
"PL616",2025,356076
"PL617",2014,364007
"PL617",2015,363170
"PL617",2016,362119
"PL617",2017,361420
"PL617",2018,360815
"PL617",2019,359520
"PL617",2020,358014
"PL617",2021,340207
"PL617",2022,337250
"PL617",2023,335149
"PL617",2024,332772
"PL617",2025,330095
"PL618",2014,186792
"PL618",2015,186733
"PL618",2016,186547
"PL618",2017,186455
"PL618",2018,186327
"PL618",2019,185908
"PL618",2020,185570
"PL618",2021,176329
"PL618",2022,175188
"PL618",2023,174147
"PL618",2024,172985
"PL618",2025,171925
"PL619",2014,362877
"PL619",2015,361093
"PL619",2016,359506
"PL619",2017,358028
"PL619",2018,356839
"PL619",2019,354937
"PL619",2020,352743
"PL619",2021,334791
"PL619",2022,331420
"PL619",2023,328550
"PL619",2024,325647
"PL619",2025,322463
"PL62",2014,1421264
"PL62",2015,1418541
"PL62",2016,1414734
"PL62",2017,1410641
"PL62",2018,1408415
"PL62",2019,1404441
"PL62",2020,1399038
"PL62",2021,1322861
"PL62",2022,1311843
"PL62",2023,1303380
"PL62",2024,1294712
"PL62",2025,1286015
"PL621",2014,526553
"PL621",2015,524824
"PL621",2016,523096
"PL621",2017,520777
"PL621",2018,519207
"PL621",2019,517268
"PL621",2020,514630
"PL621",2021,487629
"PL621",2022,483141
"PL621",2023,479660
"PL621",2024,476177
"PL621",2025,472672
"PL622",2014,611612
"PL622",2015,610750
"PL622",2016,609367
"PL622",2017,608208
"PL622",2018,607588
"PL622",2019,606469
"PL622",2020,604667
"PL622",2021,573199
"PL622",2022,568874
"PL622",2023,565651
"PL622",2024,562460
"PL622",2025,559272
"PL623",2014,283099
"PL623",2015,282967
"PL623",2016,282271
"PL623",2017,281656
"PL623",2018,281620
"PL623",2019,280704
"PL623",2020,279741
"PL623",2021,262033
"PL623",2022,259828
"PL623",2023,258069
"PL623",2024,256075
"PL623",2025,254071
"PL63",2014,2264817
"PL63",2015,2271559
"PL63",2016,2277059
"PL63",2017,2285800
"PL63",2018,2294926
"PL63",2019,2305077
"PL63",2020,2316135
"PL63",2021,2295666
"PL63",2022,2295510
"PL63",2023,2295745
"PL63",2024,2296972
"PL63",2025,2297741
"PL633",2014,740681
"PL633",2015,740928
"PL633",2016,741521
"PL633",2017,742845
"PL633",2018,743330
"PL633",2019,745972
"PL633",2020,749929
"PL633",2021,748886
"PL633",2022,746755
"PL633",2023,744814
"PL633",2024,743881
"PL633",2025,743681
"PL634",2014,546540
"PL634",2015,553224
"PL634",2016,559238
"PL634",2017,566182
"PL634",2018,574187
"PL634",2019,582378
"PL634",2020,590548
"PL634",2021,611119
"PL634",2022,617801
"PL634",2023,623591
"PL634",2024,629685
"PL634",2025,635034
"PL636",2014,329672
"PL636",2015,329605
"PL636",2016,329178
"PL636",2017,329051
"PL636",2018,329170
"PL636",2019,328934
"PL636",2020,328375
"PL636",2021,315175
"PL636",2022,313412
"PL636",2023,312145
"PL636",2024,310957
"PL636",2025,309653
"PL637",2014,221282
"PL637",2015,221274
"PL637",2016,221329
"PL637",2017,221803
"PL637",2018,222423
"PL637",2019,222635
"PL637",2020,222781
"PL637",2021,215387
"PL637",2022,214696
"PL637",2023,214254
"PL637",2024,213543
"PL637",2025,212687
"PL638",2014,426642
"PL638",2015,426528
"PL638",2016,425793
"PL638",2017,425919
"PL638",2018,425816
"PL638",2019,425158
"PL638",2020,424502
"PL638",2021,405099
"PL638",2022,402846
"PL638",2023,400941
"PL638",2024,398906
"PL638",2025,396686
"PL7",2014,3751902
"PL7",2015,3737795
"PL7",2016,3721245
"PL7",2017,3709138
"PL7",2018,3694464
"PL7",2019,3679410
"PL7",2020,3661428
"PL7",2021,3535442
"PL7",2022,3502185
"PL7",2023,3476118
"PL7",2024,3450392
"PL7",2025,3425297
"PL71",2014,2498861
"PL71",2015,2489844
"PL71",2016,2479350
"PL71",2017,2471620
"PL71",2018,2462448
"PL71",2019,2453167
"PL71",2020,2442685
"PL71",2021,2380949
"PL71",2022,2359467
"PL71",2023,2343021
"PL71",2024,2327239
"PL71",2025,2312616
"PL711",2014,709872
"PL711",2015,704228
"PL711",2016,699002
"PL711",2017,694990
"PL711",2018,689594
"PL711",2019,684915
"PL711",2020,680519
"PL711",2021,667625
"PL711",2022,659112
"PL711",2023,652983
"PL711",2024,646595
"PL711",2025,641392
"PL712",2014,382605
"PL712",2015,383288
"PL712",2016,383704
"PL712",2017,384041
"PL712",2018,384780
"PL712",2019,385629
"PL712",2020,386291
"PL712",2021,387043
"PL712",2022,386039
"PL712",2023,385278
"PL712",2024,385097
"PL712",2025,384855
"PL713",2014,590586
"PL713",2015,589208
"PL713",2016,586764
"PL713",2017,585005
"PL713",2018,583134
"PL713",2019,581062
"PL713",2020,578369
"PL713",2021,555162
"PL713",2022,550213
"PL713",2023,546039
"PL713",2024,542346
"PL713",2025,538482
"PL714",2014,449310
"PL714",2015,448007
"PL714",2016,446488
"PL714",2017,445570
"PL714",2018,444385
"PL714",2019,442739
"PL714",2020,440654
"PL714",2021,425535
"PL714",2022,422292
"PL714",2023,419701
"PL714",2024,416734
"PL714",2025,414009
"PL715",2014,366488
"PL715",2015,365113
"PL715",2016,363392
"PL715",2017,362014
"PL715",2018,360555
"PL715",2019,358822
"PL715",2020,356852
"PL715",2021,345584
"PL715",2022,341811
"PL715",2023,339020
"PL715",2024,336467
"PL715",2025,333878
"PL72",2014,1253041
"PL72",2015,1247951
"PL72",2016,1241895
"PL72",2017,1237518
"PL72",2018,1232016
"PL72",2019,1226243
"PL72",2020,1218743
"PL72",2021,1154493
"PL72",2022,1142718
"PL72",2023,1133097
"PL72",2024,1123153
"PL72",2025,1112681
"PL721",2014,767327
"PL721",2015,764639
"PL721",2016,761361
"PL721",2017,759368
"PL721",2018,756740
"PL721",2019,753544
"PL721",2020,749532
"PL721",2021,708766
"PL721",2022,701880
"PL721",2023,696408
"PL721",2024,690682
"PL721",2025,684787
"PL722",2014,485714
"PL722",2015,483312
"PL722",2016,480534
"PL722",2017,478150
"PL722",2018,475276
"PL722",2019,472699
"PL722",2020,469211
"PL722",2021,445727
"PL722",2022,440838
"PL722",2023,436689
"PL722",2024,432471
"PL722",2025,427894
"PL8",2014,5383406
"PL8",2015,5372943
"PL8",2016,5360969
"PL8",2017,5354456
"PL8",2018,5346175
"PL8",2019,5335503
"PL8",2020,5322128
"PL8",2021,5057998
"PL8",2022,5020077
"PL8",2023,4994586
"PL8",2024,4968804
"PL8",2025,4941317
"PL81",2014,2134413
"PL81",2015,2126310
"PL81",2016,2118528
"PL81",2017,2112787
"PL81",2018,2105442
"PL81",2019,2097294
"PL81",2020,2088292
"PL81",2021,1981180
"PL81",2022,1962076
"PL81",2023,1948400
"PL81",2024,1934465
"PL81",2025,1920632
"PL811",2014,304389
"PL811",2015,303090
"PL811",2016,301816
"PL811",2017,300910
"PL811",2018,299762
"PL811",2019,298352
"PL811",2020,296622
"PL811",2021,280052
"PL811",2022,277011
"PL811",2023,274914
"PL811",2024,272626
"PL811",2025,270225
"PL812",2014,635058
"PL812",2015,631554
"PL812",2016,627690
"PL812",2017,624123
"PL812",2018,620130
"PL812",2019,615481
"PL812",2020,610382
"PL812",2021,569131
"PL812",2022,561415
"PL812",2023,555496
"PL812",2024,549309
"PL812",2025,543081
"PL814",2014,709182
"PL814",2015,708197
"PL814",2016,708274
"PL814",2017,709266
"PL814",2018,709424
"PL814",2019,709993
"PL814",2020,710739
"PL814",2021,687985
"PL814",2022,684656
"PL814",2023,682886
"PL814",2024,681242
"PL814",2025,680432
"PL815",2014,485784
"PL815",2015,483469
"PL815",2016,480748
"PL815",2017,478488
"PL815",2018,476126
"PL815",2019,473468
"PL815",2020,470549
"PL815",2021,444012
"PL815",2022,438994
"PL815",2023,435104
"PL815",2024,431288
"PL815",2025,426894
"PL82",2014,2083546
"PL82",2015,2084264
"PL82",2016,2083496
"PL82",2017,2084722
"PL82",2018,2085877
"PL82",2019,2086135
"PL82",2020,2084447
"PL82",2021,1979297
"PL82",2022,1968616
"PL82",2023,1962332
"PL82",2024,1955368
"PL82",2025,1947062
"PL821",2014,474956
"PL821",2015,474657
"PL821",2016,473688
"PL821",2017,472939
"PL821",2018,472097
"PL821",2019,471161
"PL821",2020,469516
"PL821",2021,443024
"PL821",2022,439214
"PL821",2023,436569
"PL821",2024,433694
"PL821",2025,430415
"PL822",2014,390097
"PL822",2015,389157
"PL822",2016,387823
"PL822",2017,386612
"PL822",2018,385648
"PL822",2019,384141
"PL822",2020,382299
"PL822",2021,357232
"PL822",2022,354015
"PL822",2023,351769
"PL822",2024,349100
"PL822",2025,346128
"PL823",2014,616737
"PL823",2015,619005
"PL823",2016,620792
"PL823",2017,623968
"PL823",2018,627508
"PL823",2019,631399
"PL823",2020,635067
"PL823",2021,615954
"PL823",2022,616786
"PL823",2023,617969
"PL823",2024,618464
"PL823",2025,620149
"PL824",2014,601756
"PL824",2015,601445
"PL824",2016,601193
"PL824",2017,601203
"PL824",2018,600624
"PL824",2019,599434
"PL824",2020,597565
"PL824",2021,563087
"PL824",2022,558601
"PL824",2023,556025
"PL824",2024,554110
"PL824",2025,550370
"PL84",2014,1165447
"PL84",2015,1162369
"PL84",2016,1158945
"PL84",2017,1156947
"PL84",2018,1154856
"PL84",2019,1152074
"PL84",2020,1149389
"PL84",2021,1097521
"PL84",2022,1089385
"PL84",2023,1083854
"PL84",2024,1078971
"PL84",2025,1073623
"PL841",2014,502320
"PL841",2015,502580
"PL841",2016,502624
"PL841",2017,503465
"PL841",2018,504413
"PL841",2019,505188
"PL841",2020,506170
"PL841",2021,488942
"PL841",2022,487896
"PL841",2023,487613
"PL841",2024,487666
"PL841",2025,487214
"PL842",2014,395227
"PL842",2015,392931
"PL842",2016,390441
"PL842",2017,388337
"PL842",2018,386211
"PL842",2019,383563
"PL842",2020,380867
"PL842",2021,359783
"PL842",2022,355302
"PL842",2023,351876
"PL842",2024,348864
"PL842",2025,345601
"PL843",2014,267900
"PL843",2015,266858
"PL843",2016,265880
"PL843",2017,265145
"PL843",2018,264232
"PL843",2019,263323
"PL843",2020,262352
"PL843",2021,248796
"PL843",2022,246187
"PL843",2023,244365
"PL843",2024,242441
"PL843",2025,240808
"PL9",2014,5292567
"PL9",2015,5309778
"PL9",2016,5323267
"PL9",2017,5341484
"PL9",2018,5359827
"PL9",2019,5380311
"PL9",2020,5401434
"PL9",2021,5482361
"PL9",2022,5479484
"PL9",2023,5479763
"PL9",2024,5480040
"PL9",2025,5484110
"PL91",2014,2937140
"PL91",2015,2960058
"PL91",2016,2979942
"PL91",2017,3002278
"PL91",2018,3025034
"PL91",2019,3053104
"PL91",2020,3082399
"PL91",2021,3242890
"PL91",2022,3256793
"PL91",2023,3269510
"PL91",2024,3281583
"PL91",2025,3298955
"PL911",2014,1719692
"PL911",2015,1731247
"PL911",2016,1740170
"PL911",2017,1750345
"PL911",2018,1761298
"PL911",2019,1775986
"PL911",2020,1789771
"PL911",2021,1866128
"PL911",2022,1868018
"PL911",2023,1869188
"PL911",2024,1869028
"PL911",2025,1875287
"PL912",2014,609898
"PL912",2015,615296
"PL912",2016,620458
"PL912",2017,626313
"PL912",2018,631724
"PL912",2019,637851
"PL912",2020,644834
"PL912",2021,677419
"PL912",2022,682578
"PL912",2023,687379
"PL912",2024,691773
"PL912",2025,695641
"PL913",2014,607550
"PL913",2015,613515
"PL913",2016,619314
"PL913",2017,625620
"PL913",2018,632012
"PL913",2019,639267
"PL913",2020,647794
"PL913",2021,699343
"PL913",2022,706197
"PL913",2023,712943
"PL913",2024,720782
"PL913",2025,728027
"PL92",2014,2355427
"PL92",2015,2349720
"PL92",2016,2343325
"PL92",2017,2339206
"PL92",2018,2334793
"PL92",2019,2327207
"PL92",2020,2319035
"PL92",2021,2239471
"PL92",2022,2222691
"PL92",2023,2210253
"PL92",2024,2198457
"PL92",2025,2185155
"PL921",2014,616188
"PL921",2015,614024
"PL921",2016,611777
"PL921",2017,609946
"PL921",2018,608477
"PL921",2019,605972
"PL921",2020,602883
"PL921",2021,574281
"PL921",2022,569326
"PL921",2023,565683
"PL921",2024,562317
"PL921",2025,558575
"PL922",2014,343229
"PL922",2015,342182
"PL922",2016,341295
"PL922",2017,340804
"PL922",2018,339497
"PL922",2019,338306
"PL922",2020,336843
"PL922",2021,326432
"PL922",2022,323742
"PL922",2023,321941
"PL922",2024,320018
"PL922",2025,317859
"PL923",2014,330923
"PL923",2015,330040
"PL923",2016,328824
"PL923",2017,327970
"PL923",2018,327027
"PL923",2019,325475
"PL923",2020,324147
"PL923",2021,311264
"PL923",2022,308637
"PL923",2023,306505
"PL923",2024,304222
"PL923",2025,301682
"PL924",2014,385510
"PL924",2015,384741
"PL924",2016,383632
"PL924",2017,382940
"PL924",2018,382337
"PL924",2019,381313
"PL924",2020,379997
"PL924",2021,366050
"PL924",2022,363618
"PL924",2023,361537
"PL924",2024,359737
"PL924",2025,357441
"PL925",2014,420262
"PL925",2015,419580
"PL925",2016,418859
"PL925",2017,418592
"PL925",2018,418431
"PL925",2019,417565
"PL925",2020,416909
"PL925",2021,403799
"PL925",2022,401044
"PL925",2023,399123
"PL925",2024,397510
"PL925",2025,395631
"PL926",2014,259315
"PL926",2015,259153
"PL926",2016,258938
"PL926",2017,258954
"PL926",2018,259024
"PL926",2019,258576
"PL926",2020,258256
"PL926",2021,257645
"PL926",2022,256324
